twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
dcnepal,https://www.dcnepal.com/,DC Nepal,Kathmandu,Asia/Kathmandu,NP,ne,,,
deadline,https://deadline.com/,Deadline,Los Angeles,America/Los_Angeles,US,en,entertainment,,
deadspin,https://deadspin.com/,Deadspin,New York City,America/New_York,US,en,sports,,
decisiondeskhq,https://decisiondeskhq.com/,Decision Desk HQ,Washington,America/New_York,US,en,capitol-hill,,
defectormedia,https://defector.com/,Defector,New York City,America/New_York,US,en,sports,,
delawareonline,https://www.delawareonline.com/,Delaware Online,Wilmington,America/New_York,US,en,delaware,,
delawarepublic,https://www.delawarepublic.org/,Delaware Public Media,Dover,America/New_York,US,en,delaware,,
delawaretoday,https://delawaretoday.com/,Delaware Today,Wilmington,America/New_York,US,en,delaware,,
demingheadlight,https://www.demingheadlight.com/,Deming Headlight,Deming,America/Denver,US,en,new-mexico|gannett,,
democracynow,https://www.democracynow.org/,Democracy Now!,New York City,America/New_York,US,en,us-left-wing,,
denverchannel,https://www.thedenverchannel.com/,Denver7,Denver,America/Denver,US,en,colorado,,
denverite,https://denverite.com/,Denverite,Denver,America/Denver,US,en,colorado,,
denverpost,https://www.denverpost.com/,Denver Post,Denver,America/Denver,US,en,colorado,,
derspiegel,https://www.spiegel.de/,Der Spiegel,Hamburg,Europe/Berlin,DE,de,,,
deseret,https://www.deseret.com/,Deseret News,Salt Lake City,America/Denver,US,en,utah,,
desert_oracle,https://www.desertoracle.com/,Desert Oracle,Joshua Tree,America/Los_Angeles,US,en,,,
desertsunnews,https://www.desertsun.com/,Palm Springs Desert Sun,Palm Springs,America/Los_Angeles,US,en,california|gannett,,
deshsanchar1,https://deshsanchar.com/,Deshsanchar,Kathmandu,Asia/Kathmandu,NP,ne,,,
destinlog,https://www.thedestinlog.com/,The Destin Log,Destin,America/Chicago,US,en,florida|gannett,,
detroitnews,https://www.detroitnews.com/,Detroit News,Detroit,America/Detroit,US,en,,,
devilslakenews,https://www.devilslakejournal.com/,Devils Lake Journal,Devils Lake,America/Chicago,US,en,north-dakota|gannett,,
diarioonline,https://diariodonordeste.verdesmares.com.br/,Fortaleza,America/Sao_Paulo,America/Sao_Paulo,BR,pt,,,
diariope,https://www.diariodepernambuco.com.br/,Diario de Pernambuco,Recife,America/Sao_Paulo,BR,pt,,,
diariopopularrs,https://www.diariopopular.com.br/,Diário Popular,Pelotas,America/Sao_Paulo,BR,pt,,,
discovermag,https://www.discovermagazine.com/,Discover,New York City,America/New_York,US,en,,,
discovery,https://www.discovery.com/,Discovery,Washington,America/New_York,US,en,,,
dispatchalerts,https://www.dispatch.com/,The Columbus Dispatch,Columbus,America/New_York,US,en,ohio|gannett,,
dmregister,https://www.desmoinesregister.com/,Des Moines Register,Des Moines,America/Chicago,US,en,iowa|gannett,,
dn_no,https://www.dn.no/,Dagens Næringsliv,Oslo,Europe/Oslo,NO,no,,,
dnj_com,https://www.dnj.com/,Murfreesboro Daily News Journal,Murfreesboro,America/Chicago,US,en,tennessee|gannett,,
dnyuzcom,https://dnyuz.com/,Dnyuz,New York City,America/New_York,US,en,,,
documentedny,https://documentedny.com/,Documented,New York City,America/New_York,US,en,new-york-city|new-york-state,,
doorcountyknock,https://www.doorcountyknock.org/,Door County Knock,Egg Harbor,America/Chicago,US,en,wisconsin,,
dronedj,https://dronedj.com/,Drone DJ,New York City,America/New_York,US,en,aviation,,
drudge,https://drudgereport.com/,Drudge Report,Miami,America/New_York,US,en,us-right-wing,,
dvillechief,https://www.donaldsonvillechief.com/,Donaldsonville Chief,Donaldsonville,America/Chicago,US,en,louisiana|gannett,,
dwnews,https://www.dw.com/de/,DW,Bonn,Europe/Berlin,DE,de,,,
eaglegazette,https://www.lancastereaglegazette.com/,Lancaster Eagle-Gazette,Lancaster,America/New_York,US,en,ohio|gannett,,
eastbaytimes,https://www.eastbaytimes.com/,East Bay Times,Walnut Creek,America/Los_Angeles,US,en,bay-area|california,,
eastlansinginfo,http://www.eastlansinginfo.news/,East Lansing Info,East Lansing,America/New_York,US,en,,,
eater,https://www.eater.com/,Eater,New York City,America/New_York,US,en,,,
echopilot,https://www.echo-pilot.com/,Echo-Pilot,Greencastle,America/New_York,US,en,pennsylvania|gannett,,
ecledger,https://www.ellwoodcityledger.com/,Ellwood City Ledger,Ellwood City,America/New_York,US,en,pennsylvania|gannett,,
edsource,https://edsource.org/,EdSource,Oakland,America/Los_Angeles,US,en,,,
eenewsupdates,https://www.eenews.net/,E&E News,Washington,America/New_York,US,en,capitol-hill,,
ek_business,https://ekantipur.com/,Ekantipur,Kathmandu,Asia/Kathmandu,NP,ne,,,
el_pais,https://elpais.com/?ed=es,El Pais,Madrid,Europe/Madrid,ES,es,,,
el_timpano,https://www.eltimpano.org/,El Tímpano,Oakland,America/Los_Angeles,US,en,bay-area|california,,
el_universal_mx,https://www.eluniversal.com.mx/,El Universal,Mexico City,America/Mexico_City,MX,es,,,
elcorreo_com,https://www.elcorreo.com/,El Correo,Bilbao,Europe/Madrid,ES,es,,10000,
elfinanciero_mx,https://www.elfinanciero.com.mx/,Financiero,Mexico City,America/Mexico_City,MX,es,,,
elmundoes,https://www.elmundo.es/,El Mundo,Madrid,Europe/Madrid,ES,es,,,
elnuevoherald,http://www.elnuevoherald.com,El Nuevo Herald,Miami,America/New_York,US,en,florida|mcclatchy,,
elpaisuy,https://www.elpais.com.uy/,El Pais,Montevideo,America/Montevideo,UY,es,,,
elpasomatters,https://elpasomatters.org/,El Paso Matters,El Paso,America/Denver,US,en,texas,,
elpasotimes,https://www.elpasotimes.com/,El Paso Times,ElPaso,America/Denver,US,en,texas|gannett,,
elperiodico,https://www.elperiodico.com/es/,El Periodico,Barcelona,Europe/Madrid,ES,es,,,
eltiempo,https://www.eltiempo.com/,Tiempo,Bogatá,America/Bogota,CO,es,,,
em_com,https://www.em.com.br/,Estado de Minas,Belo Horizonte,America/Sao_Paulo,BR,pt,,,
enca,https://www.enca.com/,eNCA,Johannesburg,Africa/Johannesburg,ZA,en,,,
enews,https://www.eonline.com/,E!,Los Angeles,America/Los_Angeles,US,en,entertainment,,
enewsofnepal,https://www.newsofnepal.com/,Nepal Samacharpatra,Kathmandu,Asia/Kathmandu,NP,ne,,,
engadget,https://www.engadget.com/,Engadget,Silicon Valley,America/Los_Angeles,US,en,tech,,
enquirer,https://www.cincinnati.com/,Cincinnati Enquirer,Cincinnati,America/New_York,US,en,ohio|gannett|kentucky|gannett|indiana|gannett,,
enterprisenews,https://www.enterprisenews.com/,The Enterprise,Brockton,America/New_York,US,en,massachusetts|gannett,,
epochtimes,https://www.theepochtimes.com/,Epoch Times,New York City,America/New_York,US,en,us-right-wing,,
espn,https://www.espn.com/,ESPN,Stamford,America/New_York,US,en,sports,,
estadao,https://www.estadao.com.br/,Estadão,São Paulo,America/Sao_Paulo,BR,pt,,,
eveningstandard,https://www.standard.co.uk/,Evening Standard,London,Europe/London,GB,en,,,
evroundtable,https://evanstonroundtable.com/,Evanston RoundTable,Evanston,America/Chicago,US,en,illinois|chicago,,
ewnreporter,https://ewn.co.za/,Eyewitness News,Johannesburg,Africa/Johannesburg,ZA,en,,,
examinationnews,https://www.theexamination.org/,Examination,Chicago,America/Chicago,US,en,,,
excelsior,https://www.excelsior.com.mx/,Excélsior,Mexico City,America/Mexico_City,MX,es,,,
expressnews,https://www.expressnews.com/,San Antonio Express-News,San Antonio,America/Chicago,US,en,texas,,
eyethunewskzn,https://eyethunews.co.za/,Eyethu KwaZulu-Natal,Pietermaritzburg,Africa/Johannesburg,ZA,zu,,,
fairmediawatch,https://fair.org/,Fairness and Accuracy in Reporting,New York City,America/New_York,US,en,us-left-wing,,
fastcompany,https://www.fastcompany.com/,Fast Company,New York City,America/New_York,US,en,,,
fayobserver,https://www.fayobserver.com/,The Fayetteville Observer,Fayetteville,America/New_York,US,en,north-carolina|gannett,,
fdlreporter,https://www.fdlreporter.com/,Fond du Lac Reporter,Fond Du Lac,America/Chicago,US,en,wisconsin|gannett,,
fdrlst,https://thefederalist.com/,Federalist,Washington,America/New_York,US,en,us-right-wing,,
fi2w,https://fi2w.org/,Feet in 2 Worlds,New York City,America/New_York,US,en,,,
financialpost,https://financialpost.com/,Financial Post,Toronto,America/New_York,CA,en,,,
fiquemsabendo,https://fiquemsabendo.substack.com/,Fiquem Sabendo,Sao Paulo,America/Sao_Paulo,BR,pt,,,
firstthingsmag,https://www.firstthings.com/,First Things,New York City,America/New_York,US,en,us-right-wing,,
fivethirtyeight,https://fivethirtyeight.com/,FiveThirtyEight,New York City,America/New_York,US,en,,,
fla_pol,https://floridapolitics.com/,Florida Politics,Tampa,America/New_York,US,en,florida,,
flatwaterfreep,https://www.flatwaterfreepress.org/,Flatwater Free Press,Omaha,America/Chicago,US,en,nebraska,,
flightglobal,https://www.flightglobal.com/,Flight Global,London,Europe/London,GB,en,aviation,,
flintbeat,https://flintbeat.com/,Flint Beat,Flint,America/Chicago,US,en,,,
florida_bulldog,https://www.floridabulldog.org/,Florida Bulldog,Fort Lauderdale,America/New_York,US,en,florida,,
florida_today,https://www.floridatoday.com/,Brevard Florida Today,Viera,America/New_York,US,en,florida|gannett,,
flphoenixnews,https://floridaphoenix.com/,Florida Phoenix,Tallahassee,America/New_York,US,en,florida,,
folha,https://www.folha.uol.com.br/,Folha de S.Paulo,São Paulo,America/Sao_Paulo,BR,pt,,,
forbes,https://www.forbes.com/,Forbes,New York City,America/New_York,US,en,,,
foreignpolicy,https://foreignpolicy.com/,Foreign Policy,Washington,America/New_York,US,en,,,
fortunemagazine,https://fortune.com/,Fortune,New York City,America/New_York,US,en,,,
fortworthreport,https://fortworthreport.org/,Fort Worth Report,Fort Worth,America/Chicago,US,en,texas,,
fostersdailydem,https://www.fosters.com/,Foster's Daily Democrat,Dover,America/New_York,US,en,new-hampshire|gannett,,
fox12oregon,https://www.kptv.com/,Fox 12 Oregon,Beaverton,America/Los_Angeles,US,en,oregon,,
fox29philly,https://www.fox29.com/,FOX29 Philly,Philadelphia,America/New_York,US,en,pennsylvania|philadelphia,,
fox5atlanta,https://www.fox5atlanta.com,Fox 5 Atlanta,Atlanta,America/New_York,US,en,georgia,,
fox5ny,https://www.fox5ny.com/,Fox 5 New York,New York City,America/New_York,US,en,new-york-city|new-york-state,,
foxla,https://www.foxla.com/,FOX 11 Los Angeles,Los Angeles,America/Los_Angeles,US,en,socal|california,,
foxnews,https://www.foxnews.com/,Fox News,New York City,America/New_York,US,en,us-national|us-right-wing,,
foxsports,https://www.foxsports.com/,Fox Sports,New York City,America/New_York,US,en,sports,,
france24,https://www.france24.com/fr/,FRANCE 24,Paris,Europe/Paris,FR,fr,,,
france24_en,https://www.france24.com/en/,France 24 English,Paris,Europe/Paris,FR,fr,,,
franceinfo,https://www.francetvinfo.fr/,franceinfo,Paris,Europe/Paris,FR,fr,,,
frednewspost,https://www.fredericknewspost.com/,Frederick News-Post,Frederick,America/New_York,US,en,maryland,,
freebeacon,https://freebeacon.com/,Washington Free Beacon,Washington,America/New_York,US,en,us-right-wing,,
freep,https://www.freep.com/,Detroit Free Press,Detroit,America/Detroit,US,en,michigan|gannett,,
freethinkmedia,https://www.freethink.com/,Freethink,San Francisco,America/Los_Angeles,US,en,tech,,
fremontnm,https://www.thenews-messenger.com/,Fremont News Messenger,Fremont,America/New_York,US,en,ohio|gannett,,
fresnobee,http://www.fresnobee.com,The Fresno Bee,Fresno,America/Los_Angeles,US,en,california|mcclatchy,,
ft,https://ft.com/?edition=uk,Financial Times,London,Europe/London,GB,en,,,
g1,https://g1.globo.com/,g1,Rio de Janeiro,America/Sao_Paulo,BR,pt,,,
gadsdentimes,https://www.gadsdentimes.com/,The Gadsden Times,Gadsden,America/Chicago,US,en,alabama|gannett,,
gainesvillesun,https://www.gainesville.com/,Gainesville Sun,Gainesville,America/New_York,US,en,florida|gannett,,
galesburg,https://www.galesburg.com/,The Galesburg Register-Mail,Galesburg,America/Chicago,US,en,illinois|gannett,,
galvnews,https://www.galvnews.com/,Galveston County Daily News,Galveston,America/Chicago,US,en,texas,,
gardner_news,https://www.thegardnernews.com/,The Gardner News,Gardner,America/New_York,US,en,massachusetts|gannett,,
gastongazette,https://www.gastongazette.com/,Gaston Gazette,Gastonia,America/New_York,US,en,north-carolina|gannett,,
gatewaypundit,https://www.thegatewaypundit.com/,Gateway Pundit,St. Louis,America/Chicago,US,en,us-right-wing,,
gawker,https://www.gawker.com/,Gawker,New York City,America/New_York,US,en,,,
gazetadopovo,https://www.gazetadopovo.com.br/,Gazeta do Povo,Curitiba,America/Sao_Paulo,BR,pt,,,
gazetaru,https://www.gazeta.ru/,Gazeta.Ru,Moscow,Europe/Moscow,RU,ru,,,
gazettedotcom,https://www.thegazette.com/,Cedar Rapids Gazette,Cedar Rapids,America/Chicago,US,en,iowa,,
gbpressgazette,https://www.greenbaypressgazette.com/,Green Bay Press-Gazette,Green Bay,America/Chicago,US,en,wisconsin|gannett,,
gcm_nf,https://www.growingcommunitymedia.org/,Austin Weekly News,Oak Park,America/Chicago,US,en,illinois|chicago,,
gen_republic,https://www.geneseorepublic.com/,Geneseo Republic,Geneseo,America/Chicago,US,en,illinois|gannett,,
georgiastraight,https://www.straight.com/,The Georgia Straight,Vancouver,America/Vancouver,CA,en,,,
getfandom,https://www.fandom.com/,Fandom,San Francisco,America/Los_Angeles,US,en,entertainment,,
gfherald,https://www.grandforksherald.com/,Grand Forks Herald,Grand Forks,America/Chicago,US,en,north-dakota,,
gftribune,https://www.greatfallstribune.com/,Great Falls Tribune,Great Falls,America/Denver,US,en,montana|gannett,,
gigharbornow,https://www.gigharbornow.org/,Gig Harbor Now,Gig Harbor,America/Los_Angeles,US,en,washington,,
gizmodo,https://gizmodo.com/,Gizmodo,San Francisco,America/Los_Angeles,US,en,tech,,
globalnews,https://globalnews.ca/,Global News,Toronto,America/New_York,CA,en,,,
globeandmail,https://www.theglobeandmail.com/,The Globe and Mail,Toronto,America/New_York,CA,en,,,
goerie,https://www.goerie.com/,GoErie.com,Erie,America/New_York,US,en,pennsylvania|gannett,,
gosanangelo,https://www.gosanangelo.com/,The San Angelo Standard-Times,San Angelo,America/Chicago,US,en,texas|gannett,,
gothamgazette,https://www.gothamgazette.com/,Gotham Gazettee,New York City,America/New_York,US,en,new-york-city|new-york-state,,
gothamist,https://gothamist.com/,Gothamist,New York City,America/New_York,US,en,new-york-city|new-york-state,,
goupstate,https://www.goupstate.com/,Spartanburg Herald-Journal,Spartanburg,America/New_York,US,en,south-carolina|gannett,,
gpbnews,https://www.gpb.org/news,Georgia Public Broadcasting,Atlanta,America/New_York,US,en,georgia,,
gradynewsource,https://gradynewsource.uga.edu/,Grady Newsource,Athens,America/New_York,US,en,georgia|student,,
green_footballs,http://littlegreenfootballs.com/,Little Green Footballs,Los Angeles,America/Los_Angeles,US,en,,,
greenvillenews,https://www.greenvilleonline.com/,Greenville News,Greenville,America/New_York,US,en,south-carolina|gannett,,
grist,https://grist.org/,Grist,Seattle,America/Los_Angeles,US,en,,,
gtimes,https://www.gainesvilletimes.com/,Gainesville Times,Gainesville,America/New_York,US,en,georgia,,
guardian,https://theguardian.com/uk,The Guardian,London,Europe/London,GB,en,,,
gwinnettdaily,https://www.gwinnettdailypost.com,Gwinnett Daily Post,Lawrenceville,America/New_York,US,en,georgia,,
haaretzcom,https://www.haaretz.co.il/,Haaretz,Tel Aviv,Asia/Tel_Aviv,IL,he,,,
harpers,https://harpers.org/,Harper’s,New York City,America/New_York,US,en,,,
hartfordcourant,https://www.courant.com/,Hartford Courant,Hartford,America/New_York,US,en,connecticut,,
hburgamerican,https://www.hattiesburgamerican.com/,Hattiesburg American,Hattiesburg,America/Chicago,US,en,mississippi|gannett,,
hellgateny,https://www.hellgatenyc.com/,Hell Gate,New York City,America/New_York,US,en,new-york-city|new-york-state,,
heraldleader,https://www.kentucky.com/,Lexington Herald-Leader,Lexington,America/New_York,US,en,kentucky|mcclatchy,,
heraldmailnews,https://www.heraldmailmedia.com/,Herald-Mail Media,Hagerstown,America/New_York,US,en,maryland|gannett|pennsylvania|gannett|west-virginia|gannett,,
heraldscotland,https://www.heraldscotland.com/,Daily Herald,Scotland,Europe/London,GB,en,,,
heraldtribune,https://www.heraldtribune.com/,Sarasota Herald-Tribune,Sarasota,America/New_York,US,en,florida|gannett,,
hiddencityphila,http://hiddencityphila.org/,Hidden City Daily,Philadelphia,America/New_York,US,en,pennsylvania|philadelphia,,
highcountrynews,https://www.hcn.org/,High Country News,Paonia,America/Denver,US,en,,,
hitribuneherald,https://www.hawaiitribune-herald.com/,Hawaii Tribune Herald,Hilo,US/Hawaii,US,en,hawaii,,
hnnow,https://www.heraldnews.com/,The Fall River Herald News,Fall River,America/New_York,US,en,massachusetts|gannett|rhode-island|gannett,,
hollandsentinel,https://www.hollandsentinel.com/,hollandsentinel.com,Holland,America/Detroit,US,en,michigan|gannett,,
hornelltribune,https://www.eveningtribune.com/,The Hornell Evening Tribune,Hornell,America/New_York,US,en,new-york-state|gannett,,
hotairblog,https://hotair.com/,HotAir,Washington,America/New_York,US,en,us-right-wing,,
hou_landing,https://www.houstonlanding.org/,Houston Landing,Houston,America/Chicago,US,en,texas,,
houmatoday,https://www.houmatoday.com/,Houma Today,Houma,America/Chicago,US,en,louisiana|gannett,,
houstonchron,https://www.houstonchronicle.com/,Houston Chronicle,Houston,America/Chicago,US,en,texas,,
hromadskeua,https://hromadske.ua/,hromadske,Kiev,Europe/Kiev,UA,uk,,,
htrnews,https://www.htrnews.com/,Herald Times Reporter,Manitowoc,America/Chicago,US,en,wisconsin|gannett,,
huffpost,https://www.huffpost.com/,Huffington Post,New York City,America/New_York,US,en,us-left-wing,,
huffpostcanada,https://www.huffpost.com/,HuffPost Canada,Toronto,America/New_York,CA,en,,,
humanevents,https://humanevents.com/,Human Events,Washington,America/New_York,US,en,us-right-wing,,
humansofny,https://www.humansofnewyork.com/,Humans of New York,New York City,America/New_York,US,en,new-york-city|new-york-state,,
hutchnews,https://www.hutchnews.com/,The Hutchinson News,Hutchinson,America/Chicago,US,en,kansas|gannett,,
hwherald,https://harveyworld.org/,Harvey World Herald,Harvey,America/Chicago,US,en,illinois|chicago,,
icijorg,https://www.icij.org/,ICIJ,Washington,America/New_York,US,en,,,
idahostatesman,http://www.idahostatesman.com,Idaho Statesman,Boise,America/Denver,US,en,idaho|mcclatchy,,
ilanganewspaper,https://ilanganews.co.za/,Ilanga,Durban,Africa/Johannesburg,ZA,zu,,,
ilisolezwe,https://www.isolezwelesixhosa.co.za/,I'solezwe lesiXhosa,East London,Africa/Johannesburg,ZA,xh,,,
imagekhabar,https://www.imagekhabar.com/,Imagekhabar,Kathmandu,Asia/Kathmandu,NP,ne,,,
indedotcom,https://www.indeonline.com/,The Massillon Independent,Massillon,America/New_York,US,en,ohio|gannett,,
independent,https://www.independent.co.uk/news/uk,The Independent,London,Europe/London,GB,en,,,
independent_ie,https://www.independent.ie/,Independent.ie,Dublin,Europe/Dublin,IE,en,,,
independentmail,https://www.independentmail.com/,Anderson Independent-Mail,Anderson,America/New_York,US,en,south-carolina|gannett|georgia|gannett,,
indiancountry,https://indiancountrytoday.com/,Indian Country Today,Phoenix,America/Phoenix,US,en,,,
indiatoday,https://www.indiatoday.in/,India Today,Noida,Asia/Kolkata,IN,en,,,
indystar,https://www.indystar.com/,The Indianapolis Star,Indianapolis,America/Indiana/Indianapolis,US,en,indiana|gannett,,
inewsource,https://inewsource.org/,inewsource,San Diego,America/Los_Angeles,US,en,socal|california,,
infoamazoniabr,https://infoamazonia.org/,InfoAmazonia,São Paulo,America/Sao_Paulo,BR,pt,,,
infowars,https://www.infowars.com/,Infowars,Austin,America/Chicago,US,en,us-right-wing,,
injusticewatch,https://www.injusticewatch.org/,Injustice Watch,Chicago,America/Chicago,US,en,illinois|chicago,,
insideclimate,https://insideclimatenews.org/,Inside Climate News,Brooklyn,America/New_York,US,en,,,
inthesetimesmag,https://inthesetimes.com/,In These Times ,Chicago,America/Chicago,US,en,us-left-wing,,
iol,https://www.iol.co.za/,Independent Online,Cape Town,Africa/Johannesburg,ZA,en,,,
ioniassnews,https://www.sentinel-standard.com/,Ionia Sentinel-Standard,Ionia,America/Detroit,US,en,michigan|gannett,,
iowapublicradio,https://www.iowapublicradio.org/,Iowa Public Radio,Des Moines,America/Chicago,US,en,iowa,,
irishcathnews,https://www.irishcatholic.com/,Irish Catholic,Dublin,Europe/Dublin,IE,en,,,
irishexaminer,https://www.irishexaminer.com/,Irish Examiner,Dublin,Europe/Dublin,IE,en,,,
irishtimes,https://www.irishtimes.com/,Irish Times,Dublin,Europe/Dublin,IE,en,,,
islandpacket,http://www.islandpacket.com,The Island Packet,Hilton Head Island,America/New_York,US,en,south-carolina|mcclatchy,,
israelhayomeng,https://www.israelhayom.co.il/,Israel Hayom,Tel Aviv,Asia/Tel_Aviv,IL,he,,,
ithacajournal,https://www.ithacajournal.com/,Ithaca Journal,Ithaca,America/New_York,US,en,new-york-state|gannett,,
izvestia_ru,https://iz.ru/,Izvestia,Moscow,Europe/Moscow,RU,ru,,,
jacksonholenews,https://www.jhnewsandguide.com/,Jackson Hole News&Guide,Jackson Hole,America/Denver,US,en,wyoming,,
jacobin,https://jacobin.com/,Jacobin,New York City,America/New_York,US,en,us-left-wing,,
jagrannews,https://www.jagran.com/,Dainik Jagram,Kanpur,Asia/Kolkata,IN,hi,,,
jaxdotcom,https://www.jacksonville.com/,Florida Times-Union,Jacksonville,America/New_York,US,en,florida|gannett,,
jconline,https://www.jconline.com/,Lafayette Journal & Courier,Lafayette,America/Indiana/Indianapolis,US,en,indiana|gannett,,
jdemontreal,https://www.journaldemontreal.com/,La Journal de Montréal,Montreal,America/New_York,CA,fr,,,
jdnews,https://www.jdnews.com/,"The Daily News - Jacksonville, NC",Jacksonville,America/New_York,US,en,north-carolina|gannett,,
jerusalem_post,https://www.jpost.com/,Jerusalem Post,Jerusalem,Asia/Tel_Aviv,IL,en,,,
jessicavalenti,https://jessica.substack.com/,All in Her Head,Brooklyn,America/New_York,US,en,feminist,,
jewishcurrents,https://www.jewishcurrents.org/,Jewish Currents,Brooklyn,America/New_York,US,en,,,
jezebel,https://jezebel.com/,Jezebel,New York City,America/New_York,US,en,us-left-wing|feminist,,
jijicom,https://www.jiji.com/,Jiji,Tokyo,Asia/Tokyo,JP,ja,,,
jn_japanese,https://www.yomiuri.co.jp/,Yomiuri shinbun,Tokyo,Asia/Tokyo,JP,ja,,,
johncombest,https://johncombest.com/,John Combest,Jefferson City,America/Chicago,US,en,missouri,,
joplinglobe,https://www.joplinglobe.com/,Joplin Globe,Joplin,America/Chicago,US,en,missouri,,
jornaldobrasil,https://www.jb.com.br/,Jornal do Brasil,Rio de Janeiro,America/Sao_Paulo,BR,pt,,,
jornaloglobo,https://oglobo.globo.com/,O Globo,Rio de Janeiro,America/Sao_Paulo,BR,pt,,,
journalsentinel,https://www.jsonline.com/,Milwaukee Journal Sentinel,Milwaukee,America/Chicago,US,en,wisconsin|gannett,,
journalstandard,https://www.journalstandard.com/,Freeport Journal-Standard,Freeport,America/Chicago,US,en,illinois|gannett,,
journalstarnews,https://journalstar.com/,Lincoln Journal Star,Lincoln,America/Chicago,US,en,nebraska,,
jstor_daily,https://daily.jstor.org/,JSTOR Daily,New York City,America/New_York,US,en,,,
jsunnews,https://www.jacksonsun.com/,Jackson Sun,Jackson,America/Chicago,US,en,tennessee|gannett,,
juneauempire,https://www.juneauempire.com/,Juneau Empire,Juneau,America/Juneau,US,en,alaska,,
justthenews,https://justthenews.com/,Just the News,Washington,America/New_York,US,en,us-right-wing,,
kakenews,https://www.kake.com/,KAKE News,Wichita,America/Chicago,US,en,kansas,,
kansasdotcom,https://www.kansas.com/,Wichita Eagle,Witchita,America/Chicago,US,en,kansas|mcclatchy,,
kark4news,https://www.kark.com/,KARK 4 News,Little Rock,America/Chicago,US,en,arkansas,,
karobar_daily,https://www.karobardaily.com/,Karobar Daily,Kathmandu,Asia/Kathmandu,NP,ne,,,
katvnews,https://katv.com/,KATV News,Little Rock,America/Chicago,US,en,arkansas,,
kcautv,https://www.siouxlandproud.com/,KCAU,Sioux City,America/Chicago,US,en,iowa,,
kccinews,https://www.kcci.com/,KCCI,Des Moines,America/Chicago,US,en,iowa,,
kcdefender,https://www.kansascitydefender.com/,Kansas City Defender,Kansas City,America/Chicago,US,en,missouri,,
kcrg,https://www.kcrg.com/,KCRG,Cedar Rapids,America/Chicago,US,en,iowa,,
kcrw,https://www.kcrw.com/,KCRW,Los Angeles,America/Los_Angeles,US,en,socal|california,,
kcstar,https://www.kansascity.com/,Kansas City Star,Kansas City,America/Chicago,US,en,missouri|mcclatchy,,
kcur,http://www.kcur.org/,KCUR,Kansas City,America/Chicago,US,en,missouri,,
kerrville,https://dailytimes.com/,Kerrville Daily Times,Kerrville,America/Chicago,US,en,texas,,
ketv,https://www.ketv.com/,KETV NewsWatch 7,Omaha,America/Chicago,US,en,nebraska,,
kgounews,https://www.kgou.org,KGOU,Norman,America/Chicago,US,en,,,
khabarkendra,https://sancharkendra.com/,Sanchar Kendra,Kathmandu,Asia/Kathmandu,NP,ne,,,
khnews,https://khn.org/,KFF Health News,Washington,America/New_York,US,en,,,
khonnews,https://www.khon2.com/,KHON2 News,Honolulu,US/Hawaii,US,en,hawaii,,
khou,https://www.khou.com/,KHOU,Houston,America/Chicago,US,en,texas,,
king5seattle,https://www.king5.com/,KING5,Seattle,America/Los_Angeles,US,en,washington,,
kinstonfp,https://www.kinston.com/,The Kinston/Jones Free Press,Kinston,America/New_York,US,en,north-carolina|gannett,,
kitsapsun,https://www.kitsapsun.com/,Kitsap Sun,Kitsap,America/Los_Angeles,US,en,washington|gannett,,
kitv4,https://www.kitv.com/,KITV4,Honolulu,US/Hawaii,US,en,hawaii,,
knockdotla,https://knock-la.com/,Knock.LA,Los Angeles,America/Los_Angeles,US,en,socal|california,,
knoxnews,https://www.knoxnews.com/,The Knoxville News-Sentinel,Knoxville,America/New_York,US,en,tennessee|gannett,,
knprnews,https://knpr.org/,Nevada Public Radio,Las Vegas,America/Los_Angeles,US,en,nevada|las-vegas,,
komunews,https://www.komu.com/,KOMU,Columbia,America/Chicago,US,en,missouri,,
kpbs,https://www.kpbs.org/,KPBS,San Diego,America/Los_Angeles,US,en,socal|california,,
kpcc,https://www.kpcc.org/,KPCC,Los Angeles,America/Los_Angeles,US,en,socal|california,,
kpcwradio,https://www.kpcw.org/,KPCW,Park City,America/Denver,US,en,,,
kpr_frankfort,https://wfpl.org/,WFPL,Louisville,America/New_York,US,en,kentucky,,
kqed,https://www.kqed.org/,KQED,San Francisco,America/Los_Angeles,US,en,bay-area|california,,
ksnnews,https://www.ksn.com/,KSN News,Wichita,America/Chicago,US,en,kansas,,
ktla,https://ktla.com,KTLA,Los Angeles,America/Los_Angeles,US,en,socal|california,,
ktoopubmedia,https://www.ktoo.org/,KTOO,Juneau,America/Juneau,US,en,alaska,,
kuarpublicradio,https://www.ualrpublicradio.org/,KUAR,Little Rock,America/Chicago,US,en,arkansas,,
kut,https://www.kut.org/,KUT,Austin,America/Chicago,US,en,texas,,
kvoa,https://www.kvoa.com/,News 4,Tucson,America/Phoenix,US,en,arizona,,
kvpr,https://www.kvpr.org/,Valley Public Radio,Clovis,America/Los_Angeles,US,en,,,
kvue,https://www.kvue.com/,KVUE,Austin,America/Chicago,US,en,texas,,
kxan_news,https://www.kxan.com/,KXAN,Austin,America/Chicago,US,en,texas,,
kyivindependent,https://kyivindependent.com/,Kyiv Independent,Kiev,Europe/Kiev,UA,en,,,
kyivpost,https://www.kyivpost.com/uk/,KyivPost,Kiev,Europe/Kiev,UA,uk,,,
