handle,name,url,location,timezone,country,language
NewsGorkhapatra,Gorakhapatra,https://gorkhapatraonline.com/,Kathmandu,Asia/Kathmandu,NP,ne
NewsHour,PBS News Hour,https://www.pbs.org/newshour/,Washington,America/New_York,US,en
NewsTribune,Jefferson City News Tribune,https://www.newstribune.com/,Jefferson City,America/Chicago,US,en
News_Letter,Belfast News Letter,https://www.newsletter.co.uk/,Belfast,Europe/Dublin,GB,en
Newsday,Newsday,https://www.newsday.com/,Long Island,America/New_York,US,en
Newsweek,Newsweek,https://www.newsweek.com/,New York City,America/New_York,US,en
NiemanLab,Nieman Lab,https://www.niemanlab.org/,Cambridge,America/New_York,US,en
OANN,One America News Network,https://www.oann.com/,San Diego,America/New_York,US,en
OCMediaorg,Open Caucasus Media,https://oc-media.org/,Tbilisi,Asia/Tbilisi,GE,en
ORCapChronicle,Oregon Capital Chronicle,https://oregoncapitalchronicle.com/,Salem,America/Los_Angeles,US,en
OWHnews,Omaha World Herald,https://omaha.com/,Omaha,America/Chicago,US,en
Oaklandside,The Oaklandside,https://oaklandside.org/,Oakland,America/Los_Angeles,US,en
OklahomaWatch,Oklahoma Watch,https://oklahomawatch.org/,Oklahoma City,America/Chicago,US,en
OldieMagazine,Oldie,https://www.theoldie.co.uk/,London,Europe/London,GB,en
Online_khabar,Online Khabar,https://www.onlinekhabar.com/,Kathmandu,Asia/Kathmandu,NP,ne
OpenSecretsDC,OpenSecrets,http://www.opensecrets.org/,Washington,America/New_York,US,en
OpenVallejo,Open Vallejo,https://www.openvallejo.org/,Vallejo,America/Los_Angeles,US,en
Oregonian,Oregonian,https://www.oregonlive.com/,Portland,America/Los_Angeles,US,en
OttumwaCourier,Ottumwa Courier,https://www.ottumwacourier.com/,Ottumwa,America/Chicago,US,en
OxCIEJ,Oxpeckers,https://oxpeckers.org/,South Africa,Africa/Johannesburg,ZA,en
PINJNews,Pittsburgh Institute for Nonprofit Journalism,https://pinjnews.org/,Pittsburgh,America/New_York,US,en
PageSix,Page Six,https://pagesix.com/,New York City,America/New_York,US,en
Pajaropolitico,Animal Político,https://www.animalpolitico.com/,Mexico City,America/Mexico_City,MX,es
PeninsuPress,Peninsula Press,https://peninsulapress.com/,Palo Alto,America/Los_Angeles,US,en
PhillyInquirer,Philadelphia Inquirer,https://www.inquirer.com/,Philadelphia,America/New_York,US,en
PhillyTrib,Philadelphia Tribune,https://www.phillytrib.com/,Philadelphia,America/New_York,US,en
PioneerPress,Twin Cities Pioneer Press,https://www.twincities.com/,St. Paul,America/Chicago,US,en
Poder360,Poder 360,https://www.poder360.com.br/,Brasília,America/Sao_Paulo,BR,pt
PointReyesLight,Point Reyes Light,https://www.ptreyeslight.com/,Point Reyes,America/Los_Angeles,US,en
PolitiFact,Politifact ,https://www.politifact.com/,Washington,America/New_York,US,en
PostCrescent,Appleton Post Crescent,https://www.postcrescent.com/,Appleton,America/Chicago,US,en
PrivateEyeNews,Private Eye,https://www.private-eye.co.uk/,London,Europe/London,GB,en
PuckNews,Puck,https://puck.news/,New York City,America/New_York,US,en
Pulitzercenter,Pulitzer Center,http://www.pulitzercenter.org/,Washington,America/New_York,US,en
PunchbowlNews,Punchbowl News,https://punchbowl.news/,Washington,America/New_York,US,en
Quillette,Quillette,https://quillette.com/,London,Europe/London,GB,en
RFI,RFI,https://www.rfi.fr/fr/,Paris,Europe/Paris,FR,fr
RTDNEWS,Richmond Times-Dispatch,https://richmond.com/,Richmond,America/New_York,US,en
Rajdhani_daily,Rajdhani Daily,https://rajdhanidaily.com/,Kathmandu,Asia/Kathmandu,NP,ne
Rato_pati,Rato Pati,https://ratopati.com/,Lalitpur,Asia/Kathmandu,NP,ne
RawStory,Raw Story,https://www.rawstory.com/,Washington,America/New_York,US,en
RealClearNews,Real Clear Politics,https://www.realclearpolitics.com/,Washington,America/New_York,US,en
RedState,RedState,https://redstate.com/,Washington,America/New_York,US,en
Reductress,Reductress,https://reductress.com/,New York City,America/New_York,US,en
Reforma,Reforma,https://www.reforma.com/,Monterrey,America/Mexico_City,MX,es
Reporte_Indigo,Reporte Índigo,https://www.reporteindigo.com/,Mexico City,America/Mexico_City,MX,es
ReporterNews,Abilene Reporter News,https://www.reporternews.com/,Abilene,America/Chicago,US,en
Reuters,Reuters,https://www.reuters.com/,New York City,America/New_York,US,en
RevistaISTOE,ISTOÉ,https://istoe.com.br/,São Paulo,America/Sao_Paulo,BR,pt
RollingStone,Rolling Stone,https://www.rollingstone.com/,New York City,America/New_York,US,en
SBNation,SB Nation,https://www.sbnation.com/,New York City,America/New_York,US,en
SCOTUSblog,SCOTUS Blog,https://www.scotusblog.com/,Washington,America/New_York,US,en
SHillsAlmanac,South Hills Almanac,https://thealmanac.net/,South Hills,America/New_York,US,en
SInow,Sports Illustrated,https://www.si.com/,New York City,America/New_York,US,en
SJSpotlight,San José Spotlight,https://www.sanjosespotlight.com/,San Jose,America/Los_Angeles,US,en
SJVWater,SJV Water,https://sjvwater.org/news/,Bakersfield,America/Los_Angeles,US,en
SLTimes,Storm Lake Times,https://www.stormlake.com/,Storm Lake,America/Chicago,US,en
SPACEdotcom,Space.com,https://www.space.com/,New York City,America/New_York,US,en
SZ,Süddeutsche Zeitung,https://www.sueddeutsche.de/,München,Europe/Berlin,DE,de
SahanJournal,Sahan Journal,https://sahanjournal.com/,Minneapolis,America/Chicago,US,en
Sankei_news,Sankei Shimbun,https://www.sankei.com/,Tokyo,Asia/Tokyo,JP,ja
SavannahNow,Savannah Morning News,https://www.savannahnow.com,Savannah,America/New_York,US,en
ScotNational,National,https://www.thenational.scot/,Scotland,Europe/London,GB,en
ScottishSun,Scottish Sun,https://www.thescottishsun.co.uk/,Glasgow,Europe/London,GB,en
SearchlightNM,Searchlight New Mexico,https://searchlightnm.org/,Sante Fe,America/Denver,US,en
SinEmbargoMX,SinEmbargo,https://www.sinembargo.mx/,Mexico City,America/Mexico_City,MX,es
Slate,Slate,https://slate.com/,New York City,America/New_York,US,en
SouthSideWeekly,South Side Weekly,https://southsideweekly.com/,Chicago,America/Chicago,US,en
SowetanLIVE,Sowetan,https://www.sowetanlive.co.za/,Johannesburg,Africa/Johannesburg,ZA,en
SpaceNews_Inc,Space News,https://spacenews.com/,Washington,America/New_York,US,en
SpectrumNews,The Spectrum,https://www.thespectrum.com/,Salt Lake City,America/Denver,US,en
SpokesmanReview,Spokesman-Review,https://www.spokesman.com/,Spokane,America/Los_Angeles,US,en
Spotlight4DC,Spotlight DC,https://spotlightdc.org/,Washington,America/New_York,US,en
SpotlightPA,Spotlight PA,https://www.spotlightpa.org/,Harrisburg,America/New_York,US,en
SputnikInt,Sputnik,https://sputniknews.com/,Moscow,Europe/Moscow,RU,en
StamAdvocate,Stamford Advocate,https://www.stamfordadvocate.com/,Stamford,America/New_York,US,en
StarAdvertiser,Honolulu Star-Advertiser,https://www.staradvertiser.com/,Honolulu,US/Hawaii,US,en
StarTribune,Minneapolis Star Tribune,https://www.startribune.com/,Minneapolis,America/Chicago,US,en
StevensPointJrl,Stevens Point Journal,https://www.stevenspointjournal.com/,Stevens Point,America/Chicago,US,en
StudyFindsorg,Study Finds,https://studyfinds.org/,Baltimore,America/New_York,US,en
Suntimes,Chicago Sun-Times,https://chicago.suntimes.com/,Chicago,America/Chicago,US,en
THECITYNY,The City,https://www.thecity.nyc/,New York City,America/New_York,US,en
THR,Hollywood Reporter,https://www.hollywoodreporter.com/,Los Angeles,America/Los_Angeles,US,en
THV11,THV 11,https://www.thv11.com/,Little Rock,America/Chicago,US,en
TIME,TIME,https://time.com/,New York City,America/New_York,US,en
TMZ,TMZ,https://www.tmz.com/,Los Angeles,America/Los_Angeles,US,en
TOAcornNews,Thousand Oaks Acorn,https://www.toacorn.com/,Thousand Oaks,America/Los_Angeles,US,en
TPRNews,Texas Public Radio,https://www.tpr.org/,San Antonio,America/Chicago,US,en
TW_nextmedia,Apple Daily,https://tw.appledaily.com/,Taipei City,Asia/Taipei,TW,zh
TaskandPurpose,Task & Purpose,https://taskandpurpose.com/,Washington,America/New_York,US,en
TeenVogue,Teen Vogue,https://www.teenvogue.com/,New York City,America/New_York,US,en
Telegraph,The Telegraph,https://www.telegraph.co.uk/,London,Europe/London,GB,en
TelegraphHerald,Dubuque Telegraph Herald,https://www.telegraphherald.com/,Dubuque,America/Chicago,US,en
TelemundoCHI,Telemundo Chicago,https://www.telemundochicago.com/,Chicago,America/Chicago,US,es
TexasMonthly,Texas Monthly,https://www.texasmonthly.com/,Austin,America/Chicago,US,en
TexasObserver,Texas Observer,https://www.texasobserver.org/,Austin,America/Chicago,US,en
TexasTribune,Texas Tribune,https://www.texastribune.org/,Austin,America/Chicago,US,en
ThahaKhabar,Thaha Khabar,https://www.thahakhabar.com/,Kathmandu,Asia/Kathmandu,NP,ne
The74,74th,https://www.the74million.org/,New York City,America/New_York,US,en
TheAlligator,Alligator,https://www.alligator.org/,Gainesville,America/New_York,US,en
TheAspenTimes,Aspen Times,https://www.aspentimes.com/,Aspen,America/Denver,US,en
TheAthletic,Athletic,https://theathletic.com/,New York City,America/New_York,US,en
TheAtlantic,Atlantic,https://www.theatlantic.com/,Washington,America/New_York,US,en
TheBabylonBee,Babylon Bee,https://babylonbee.com/,Jupiter,America/New_York,US,en
TheBlock__,Block,https://www.theblock.co/,New York City,America/New_York,US,en
TheBuffaloNews,Buffalo News,https://buffalonews.com/,Buffalo,America/New_York,US,en
TheCut,The Cut,https://www.thecut.com/,New York City,America/New_York,US,en
TheDailyClimate,Daily Climate,https://www.dailyclimate.org/,Bozeman,America/Denver,US,en
TheDePaulia,DePaulia,https://depauliaonline.com/,Chicago,America/Chicago,US,en
TheEconomist,Economist,https://www.economist.com/,London,Europe/London,GB,en
TheInterceptBr,Intercept Brazil,https://theintercept.com/brasil/,Rio de Janeiro,America/Sao_Paulo,BR,pt
TheJaxTrib,Tributary,https://jaxtrib.org/,Jacksonville,America/New_York,US,en
TheLeftBench,Left Bench,https://theleftbench.com/,College Park,America/New_York,US,en
TheMendoVoice,Mendoncino Voice,https://mendovoice.com/,Ukiah,America/Los_Angeles,US,en
TheNation,The Nation,https://www.thenation.com/,New York City,America/New_York,US,en
TheOklahoman_,Oklahoman,https://www.oklahoman.com/,Oklahoma City,America/Chicago,US,en
TheOnion,Onion,https://theonion.com,Chicago,America/Chicago,US,en
ThePearlPost,Pearl Post,https://www.thepearlpost.com/,Lake Balboa,America/Los_Angeles,US,en
TheProspect,American Prospect,https://prospect.org/,Washington,America/New_York,US,en
ThePublicSource,Public Source,https://thepublicsource.org/,Beirut,Asia/Beirut,LB,en
TheRealNews,Real News,https://therealnews.com/,Baltimore,America/New_York,US,en
TheRioTimes,Rio Times,https://www.riotimesonline.com/,Rio de Janeiro,America/Sao_Paulo,BR,en
TheRoot,Root,https://www.theroot.com/,New York City,America/New_York,US,en
TheSAnews,The South African,https://www.thesouthafrican.com/,Cape Town,Africa/Johannesburg,ZA,en
TheScotsman,Scotsman,https://www.scotsman.com/,Scotland,Europe/London,GB,en
TheSun,The Sun,https://www.thesun.co.uk/,London,Europe/London,GB,en
TheTRiiBE,The TriiBE,https://thetriibe.com/,Chicago,America/Chicago,US,en
TheTimes,The Times,https://www.thetimes.co.uk/,London,Europe/London,GB,en
TheVDT,Valdosta Daily Times,https://www.valdostadailytimes.com,Valdosta,America/New_York,US,en
TheWeek,The Week,https://theweek.com/,New York City,America/New_York,US,en
TheWrap,Wrap,https://www.thewrap.com/,Los Angeles,America/Los_Angeles,US,en
TiftonGazette1,Tifton Gazette,https://www.tiftongazette.com,Tifton,America/New_York,US,en
TimesHerald,The Newnan Times-Herald,https://www.times-herald.com,Newnan,America/New_York,US,en
TimesLIVE,TimesLIVE,https://www.timeslive.co.za/,Johannesburg,Africa/Johannesburg,ZA,en
TucsonSentinel,Tucson Sentinel,http://www.tucsonsentinel.com/,Tucson,America/Phoenix,US,en
TucsonStar,Arizona Daily Star,https://tucson.com/,Tucson,America/Phoenix,US,en
Tylerpaper,Tyler Morning Telegraph,https://tylerpaper.com/,Tyler,America/Chicago,US,en
UHmallorca,Última Hora,https://www.ultimahora.es/,Palma,Europe/Madrid,ES,es
UMD_SBS,Stories Beneath the Shell,https://umdsbs.wordpress.com/,College Park,America/New_York,US,en
UOLNoticias,UOL Notícias,https://noticias.uol.com.br/,São Paulo,America/Sao_Paulo,BR,pt
UR_Ninja,Unicorn Riot,https://unicornriot.ninja/,Minneapolis,America/Chicago,US,en
USATODAY,USA Today,https://www.usatoday.com/,Washington,America/New_York,US,en
USNews,U.S. News & World Report,https://www.usnews.com/,Washington,America/New_York,US,en
Ujyaalo,Ujyaalo,https://ujyaaloonline.com/,Kathmandu,Asia/Kathmandu,NP,ne
UniNoticias,Univision News,https://www.univision.com/noticias,New York City,America/New_York,US,es
UvaldeNews,Uvalde News-Leader,https://www.uvaldeleadernews.com/,Uvalde,America/Chicago,US,en
VICENews,Vice News,https://www.vice.com/en/section/news,New York City,America/New_York,US,en
VanityFair,Vanity Fair,https://www.vanityfair.com/,New York City,America/New_York,US,en
Variety,Variety,https://variety.com/,Los Angeles,America/Los_Angeles,US,en
VentureBeat,VentureBeat,https://venturebeat.com/,San Francisco,America/Los_Angeles,US,en
VotebeatUS,Votebeat,https://www.votebeat.org/,Washington,America/New_York,US,en
WALBNews10,WALB News 10,https://www.walb.com,Albany,America/New_York,US,en
WBEZ,WBEZ,https://www.wbez.org/,Chicago,America/Chicago,US,en
WBRCnews,WBRC FOX6 News,https://www.wbrc.com/,Birmingham,America/Chicago,US,en
WBUR,WBUR,https://www.wbur.org/,Boston,America/New_York,US,en
WDRBNews,WDRB News,https://www.wdrb.com/,Louisville,America/New_York,US,en
WFXL,Fox 31 WFXL-TV,https://www.wfxl.com,Albany,America/New_York,US,en
WGNNews,WGN,https://wgntv.com/,Chicago,America/Chicago,US,en
WGRZ,WGRZ,https://www.wgrz.com/WGRZ,Buffalo,America/New_York,US,en
WHAS11,WHAS11 News,https://www.whas11.com/,Louisville,America/New_York,US,en
WHYYNews,WHYY,https://whyy.org/news,Philadelphia,America/New_York,US,en
WJBF,WJBF,https://www.wjbf.com,Augusta,America/New_York,US,en
WKYT,WKYT,https://www.wkyt.com/,Lexington,America/New_York,US,en
WNCN,CBS 17,https://www.cbs17.com/,Raleigh,America/New_York,US,en
WNYC,WNYC,https://www.wnyc.org/,New York City,America/New_York,US,en
WNYT,WNYT NewsChannel 13,https://wnyt.com/,Albany,America/New_York,US,en
WOWT6News,6 News WOWT,https://www.wowt.com/,Omaha,America/Chicago,US,en
WRDW_WAGT,News 12 NBC 26,https://www.wrdw.com,Augusta,America/New_York,US,en
WSAV,WSAV News 3,https://www.wsav.com,Savannah,America/New_York,US,en
WTOC11,WTOC,https://www.wtoc.com,Savannah,America/New_York,US,en
WTVM,WTVM News Leader 9,https://www.wtvm.com,Columbus,America/New_York,US,en
WashTimes,Washington Times,https://www.washingtontimes.com/,Washington,America/New_York,US,en
WiStateJournal,Wisconsin State Journal,https://madison.com/wsj/,Wisconsin,America/Chicago,US,en
Wonkette,Wonkette,https://www.wonkette.com/,Detroit,America/Chicago,US,en
YCityNewsOnline,Y-City News,https://ycitynews.com/,Zanesville,America/New_York,US,en
YahooFinance,Yahoo Finance,https://finance.yahoo.com/,New York City,America/New_York,US,en
YahooNews,Yahoo! News,https://news.yahoo.com/,New York City,America/New_York,US,en
YediotAhronot,Yedioth Ahronoth,https://www.yediot.co.il/,Tel Aviv,Asia/Tel_Aviv,IL,he
_fiquemsabendo,Fiquem Sabendo,https://fiquemsabendo.substack.com/,Sao Paulo,America/Sao_Paulo,BR,pt
abc3340,ABC 33/40 News,https://abc3340.com/,Birmingham,America/Chicago,US,en
abc7breaking,KVIA,https://kvia.com/,El Paso,America/Denver,US,en
abc7newsbayarea,ABC7 News,https://abc7news.com/,San Francisco,America/Los_Angeles,US,en
abc_es,ABC,https://www.abc.es/,Madrid,Europe/Madrid,ES,es
abcnews,ABC News,https://www.abc.net.au/news/,Sydney,Australia/Sydney,AU,en
abqbizfirst,Albuquerque Business First,https://www.bizjournals.com/albuquerque/,Albuquerque,America/Denver,US,en
adndotcom,Anchorage Daily News,https://www.adn.com/,Anchorage,America/Anchorage,US,en
agenciabrasil,Agência Brasil,https://agenciabrasil.ebc.com.br/,Brasília,America/Sao_Paulo,BR,pt
agenciapublica,Agência Pública,https://apublica.org/,Sao Paulo,America/Sao_Paulo,BR,pt
airwaysmagazine,Airways,https://airwaysmag.com/,Miami,America/New_York,US,en
ajc,Atlanta Journal-Constitution,https://www.ajc.com/,Atlanta,America/New_York,US,en
aldotcom,Alabama Media Group,https://www.al.com/,Montgomery,America/Chicago,US,en
amaBhungane,amaBhungane,https://amabhungane.org/,South Africa,Africa/Johannesburg,ZA,en
amarujalanews,Amar Ujala,https://www.amarujala.com/,New Delhi,Asia/Kolkata,IN,hi
amazoniaagencia,Agência Amazônia,https://aamazonia.com.br/,São Paulo,America/Sao_Paulo,BR,pt
anchoragepress,Anchorage Press,https://www.anchoragepress.com/,Anchorage,America/Anchorage,US,en
andscape,Andscape,https://andscape.com/,Washington,America/New_York,US,en
apmreports,APM Reports,https://www.apmreports.org/,St. Paul,America/Chicago,US,en
arstechnica,Ars Technica,https://arstechnica.com/,New York City,America/New_York,US,en
arthasarokar,Artha Sarokar,https://arthasarokar.com/,Kathmandu,Asia/Kathmandu,NP,ne
asahi,Asahi Shimbun,https://www.asahi.com/,Osaka,Asia/Tokyo,JP,ja
aspenpubradio,Aspen Public Radio,https://www.aspenpublicradio.org/,Aspen,America/Denver,US,en
atarde,Jornal A Tarde,https://atarde.com.br/,Bahia,America/Sao_Paulo,BR,pt
atlblog,Above the Law,https://abovethelaw.com/,New York City,America/New_York,US,en
atlciviccircle,Atlanta Civic Circle,https://atlantaciviccircle.org/,Atlanta,America/New_York,US,en
avherald,Aviation Herald,https://avherald.com/,Austria,Europe/Vienna,AT,en
axios,Axios,https://www.axios.com/,Washington,America/New_York,US,en
azcentral,Arizona Republic,https://www.azcentral.com/,Phoenix,America/Phoenix,US,en
azds,Arizona Daily Sun,https://azdailysun.com/,Flagstaff,America/Phoenix,US,en
badger_project_,Badger Project,https://thebadgerproject.org/,Madison,America/Chicago,US,en
baltbeat,Baltimore Beat,https://baltimorebeat.com/,Baltimore,America/New_York,US,en
baltfishbowl,Baltimore Fishbowl,https://baltimorefishbowl.com/,Baltimore,America/New_York,US,en
baltimoresun,The Baltimore Sun,https://www.baltimoresun.com/,Baltimore,America/New_York,US,en
bariweiss,Common Sense,https://www.commonsense.news/,Los Angeles,America/Los_Angeles,US,en
baynature,Bay Nature,https://baynature.org/,Berkeley,America/Los_Angeles,US,en
bbc,BBC,https://www.bbc.com/news,London,Europe/London,GB,en
bcn_foundation,Local News Matters,http://www.localnewsmatters.org/,Berkeley,America/Los_Angeles,US,en
beaconjournal,Akron Beacon Journal,https://www.beaconjournal.com/,Akron,America/New_York,US,en
bellingcat,Bellingcat,https://www.bellingcat.com/,London,Europe/London,GB,en
belt_magazine,Belt Magazine,http://beltmag.com/,Cleveland,America/New_York,US,en
bgdailynews,Bowling Green Daily News,https://www.bgdailynews.com/,Bowling Green,America/Chicago,US,en
billy_penn,Billy Penn,https://billypenn.com/,Philadelphia,America/New_York,US,en
bklyner,Bklyner,https://bklyner.com/,Brooklyn,America/New_York,US,en
bloombergjapan,Bloomberg Japan,https://www.bloomberg.co.jp/,Tokyo,Asia/Tokyo,JP,ja
bonappetit,Bon Appetit,https://www.bonappetit.com/,New York City,America/New_York,US,en
bosbizjournal,Boston Business Journal,https://www.bizjournals.com/boston/,Boston,America/New_York,US,en
brooklynpaper,Brooklyn Paper,https://www.brooklynpaper.com/,New York City,America/New_York,US,en
btno,Bergens Tidende,https://www.bt.no/,Bergen,Europe/Oslo,NO,no
business,Bloomberg,https://www.bloomberg.com/,New York City,America/New_York,US,en
calgaryherald,Calgary Herald,https://calgaryherald.com/,Calgary,America/Edmonton,CA,en
canopyatl,Canopy Atlanta,http://canopyatlanta.org/,Atlanta,America/New_York,US,en
capgaznews,Capital Gazette,https://www.capitalgazette.com/,Annapolis,America/New_York,US,en
capitalandmain,Capital & Main,https://capitalandmain.com/,Los Angeles,America/Los_Angeles,US,en
cbcnews,CBC News,https://www.cbc.ca/news,Toronto,America/New_York,CA,en
cbs46,CBS46,https://www.cbs46.com,Atlanta,America/New_York,US,en
cbschicago,CBS Chicago,https://www.cbsnews.com/chicago/,Chicago,America/Chicago,US,en
chess24com,chess24,https://chess24.com/en/read/news,Hamburg,Europe/Berlin,DE,de
chesscom,Chess.com,https://www.chess.com/news,San Francisco,America/Los_Angeles,US,en
chicagotribune,Chicago Tribune,https://www.chicagotribune.com/,Chicago,America/Chicago,US,en
chinatimes,China Times,https://www.chinatimes.com/,Taipei City,Asia/Taipei,TW,zh
chunichi_denhen,Chunichi Shimbun,https://www.chunichi.co.jp/,Nagoya,Asia/Tokyo,JP,ja
citylimitsnews,City Limits,http://www.citylimits.org/,New York City,America/New_York,US,en
civic_lex,CivicLex,https://civiclex.org/,Lexington,America/New_York,US,en
civio,Civio,https://civio.es/,Madrid,Europe/Madrid,ES,es
clarincom,Clarín,https://www.clarin.com/,Buenos Aires,America/Buenos_Aires,AR,es
clarionledger,Clarion Ledger,https://www.clarionledger.com/,Jackson,America/New_York,US,en
cnn,CNN,https://www.cnn.com/,Atlanta,US/Eastern,US,en
colabnewsco,Colorado News Collaborative,https://colabnews.co/,Denver,America/Denver,US,en
commondreams,Common Dreams,https://www.commondreams.org/,Maine,America/New_York,US,en
connpost,Connecticut Post,https://www.ctpost.com/,Bridgeport,America/New_York,US,en
conversationus,Conversation U.S.,https://theconversation.com/us,Waltham,America/New_York,US,en
correio,Correio Braziliense,https://www.correiobraziliense.com.br/,Brasília,America/Sao_Paulo,BR,pt
courierjournal,Louisville Courier-Journal,https://www.courier-journal.com/,Louisville,America/New_York,US,en
cpipr,Centro de Periodismo Investigativo,https://periodismoinvestigativo.com/,San Juan,America/New_York,US,es
crikey_news,Crikey,https://www.crikey.com.au/,Melbourne,Australia/Melbourne,AU,en
cronica,Crónica,https://www.cronica.com.ar/,Buenos Aires,America/Buenos_Aires,AR,es
csgazette,Colorado Springs Gazette,https://gazette.com/,Colorado Springs,America/Denver,US,en
ctmirror,Connecticut Mirror,https://ctmirror.org/,Hartford,America/New_York,US,en
ctvnews,CTV News,https://www.ctvnews.ca/,Toronto,America/New_York,CA,en
cuestion_p,Cuestion Publica,https://cuestionpublica.com/,Bogatá,America/Bogota,CO,es
curbed,Curbed,https://www.curbed.com/,New York City,America/New_York,US,en
dagbladet,Dagbladet,https://www.dagbladet.no/,Oslo,Europe/Oslo,NO,no
dailycamera,Daily Camera,https://www.dailycamera.com/,Boulder,America/Denver,US,en
dailyecho,Daily Echo,https://www.dailyecho.co.uk/,Southampton,Europe/London,GB,en
dailyherald,Daily Herald,https://www.dailyherald.com/,Arlington,America/Chicago,US,en
dailykos,Daily Kos,https://www.dailykos.com/,Washington,America/New_York,US,en
dailymaverick,Daily Maverick,https://www.dailymaverick.co.za/,Johannesburg,Africa/Johannesburg,ZA,en
dailymirror,Daily Mirror,https://www.mirror.co.uk/,London,Europe/London,GB,en
dailypenn,Daily Penn,https://www.thedp.com/,Philadelphia,America/New_York,US,en
dailysunsa,Daily Sun,https://www.dailysun.co.za,SunLand,Africa/Johannesburg,ZA,en
dailytarheel,Daily Tarheel,https://www.dailytarheel.com,Chapel Hill,America/New_York,US,en
dailyyonder,Daily Yonder,https://www.dailyyonder.com/,Whitesburg,America/New_York,US,en
dainik_online,Danik Online,https://www.dainikonline.com/,Kathmandu,Asia/Kathmandu,NP,ne
dallasfreepress,Dallas Free Press,https://www.dallasfreepress.com/,Dallas,America/Chicago,US,en
dallasnews,Dallas Morning News,https://www.dallasnews.com/,Dallas,America/Chicago,US,en
dcexaminer,Washington Examiner,https://www.washingtonexaminer.com/,Washington,America/New_York,US,en
dcnepal,DC Nepal,https://www.dcnepal.com/,Kathmandu,Asia/Kathmandu,NP,ne
delawareonline,Delaware Online,https://www.delawareonline.com/,Wilmington,America/New_York,US,en
democracynow,Democracy Now!,https://www.democracynow.org/,New York City,America/New_York,US,en
denverpost,Denver Post,https://www.denverpost.com/,Denver,America/Denver,US,en
derspiegel,Der Spiegel,https://www.spiegel.de/,Hamburg,Europe/Berlin,DE,de
deshsanchar1,Deshsanchar,https://deshsanchar.com/,Kathmandu,Asia/Kathmandu,NP,ne
diarioonline,Fortaleza,https://diariodonordeste.verdesmares.com.br/,America/Sao_Paulo,America/Sao_Paulo,BR,pt
diariopopularRS,Diário Popular,https://www.diariopopular.com.br/,Pelotas,America/Sao_Paulo,BR,pt
dnyuzcom,Dnyuz,https://dnyuz.com/,New York City,America/New_York,US,en
documentedny,Documented,https://documentedny.com/,New York City,America/New_York,US,en
doorcountyknock,Door County Knock,https://www.doorcountyknock.org/,Egg Harbor,America/Chicago,US,en
dwnews,DW,https://www.dw.com/de/,Bonn,Europe/Berlin,DE,de
eNCA,eNCA,https://www.enca.com/,Johannesburg,Africa/Johannesburg,ZA,en
eastlansinginfo,East Lansing Info,http://www.eastlansinginfo.news/,East Lansing,America/New_York,US,en
eater,Eater,https://www.eater.com/,New York City,America/New_York,US,en
ek_business,Ekantipur,https://ekantipur.com/,Kathmandu,Asia/Kathmandu,NP,ne
el_pais,El Pais,https://elpais.com/?ed=es,Madrid,Europe/Madrid,ES,es
el_timpano,El Tímpano,https://www.eltimpano.org/,Oakland,America/Los_Angeles,US,en
elcorreo_com,El Correo,https://www.elcorreo.com/,Bilbao,Europe/Madrid,ES,es
elmundoes,El Mundo,https://www.elmundo.es/,Madrid,Europe/Madrid,ES,es
elpaisuy,El Pais,https://www.elpais.com.uy/,Montevideo,America/Montevideo,UY,es
elpasomatters,El Paso Matters,https://elpasomatters.org/,El Paso,America/Denver,US,en
elpasotimes,El Paso Times,https://www.elpasotimes.com/,ElPaso,America/Denver,US,en
elperiodico,El Periodico,https://www.elperiodico.com/es/,Barcelona,Europe/Madrid,ES,es
em_com,Estado de Minas,https://www.em.com.br/,Belo Horizonte,America/Sao_Paulo,BR,pt
enews,E!,https://www.eonline.com/,Los Angeles,America/Los_Angeles,US,en
enewsofnepal,Nepal Samacharpatra,https://www.newsofnepal.com/,Kathmandu,Asia/Kathmandu,NP,ne
engadget,Engadget,https://www.engadget.com/,Silicon Valley,America/Los_Angeles,US,en
enquirer,Cincinnati Enquirer,https://www.cincinnati.com/,Cincinnati,America/New_York,US,en
espn,ESPN,https://www.espn.com/,Stamford,America/New_York,US,en
ewnreporter,Eyewitness News,https://ewn.co.za/,Johannesburg,Africa/Johannesburg,ZA,en
fastcompany,Fast Company,https://www.fastcompany.com/,New York City,America/New_York,US,en
financialpost,Financial Post,https://financialpost.com/,Toronto,America/New_York,CA,en
firstthingsmag,First Things,https://www.firstthings.com/,New York City,America/New_York,US,en
flatwaterfreep,Flatwater Free Press,https://www.flatwaterfreepress.org/,Omaha,America/Chicago,US,en
folha,Folha de S.Paulo,https://www.folha.uol.com.br/,São Paulo,America/Sao_Paulo,BR,pt
fox12oregon,Fox 12 Oregon,https://www.kptv.com/,Beaverton,America/Los_Angeles,US,en
fox5ny,Fox 5 New York,https://www.fox5ny.com/,New York City,America/New_York,US,en
foxnews,Fox News,https://www.foxnews.com/,New York City,America/New_York,US,en
franceinfo,franceinfo,https://www.francetvinfo.fr/,Paris,Europe/Paris,FR,fr
frednewspost,Frederick News-Post,https://www.fredericknewspost.com/,Frederick,America/New_York,US,en
freethinkmedia,Freethink,https://www.freethink.com/,San Francisco,America/Los_Angeles,US,en
ft,Financial Times,https://ft.com/?edition=uk,London,Europe/London,GB,en
