text,url,n,is_story,domain
"$15 French Fries, $18 Sandwiches: Inflation Hits NYC...",https://dnyuz.com/2022/08/08/15-french-fries-and-18-sandwiches-inflation-hits-new-york/,1,True,dnyuz.com
$2 Trillion Free-Fall Rattles Crypto to Core...,https://finance.yahoo.com/news/2-trillion-free-fall-rattles-230033105.html,4,True,yahoo.com
"$2,245.62 A SECOND: EXXON SCORES ENORMOUS PROFIT...",https://www.cnn.com/2022/07/29/energy/exxonmobil-chevron-earnings/index.html,2,True,cnn.com
"$2,245.62 a second: EXXON scores enormous profit...",https://www.cnn.com/2022/07/29/energy/exxonmobil-chevron-earnings/index.html,2,True,cnn.com
$20M PAY DAY?,https://radaronline.com/p/joe-scarborough-20-million-contract-cnn-leaving-msnbc/,2,True,radaronline.com
$251 Billion Fortune Increasingly Hinges on SPACEX...,https://www.bloomberg.com/news/articles/2022-08-30/elon-musk-s-net-worth-increasingly-depends-on-spacex-as-tesla-stock-price-falls#xj4y7vzkg,3,True,bloomberg.com
$25M Superyacht up in flames...,https://metro.co.uk/2022/08/12/super-yacht-worth-20000000-goes-up-in-flames-a-month-after-being-delivered-17172801/,3,True,metro.co.uk
$3 million bounty on head...,https://www.the-sun.com/news/5987282/salman-rushdie-death-threats-before-stabbing-at-chautauqua/,1,True,the-sun.com
$3 trillion in retirement savings wiped out...,https://www.cbsnews.com/news/stocks-drop-retirement-savings-401k-ira-3-trillion-2022/,1,True,cbsnews.com
$3 trillion retirement savings wiped out...,https://www.cbsnews.com/news/stocks-drop-retirement-savings-401k-ira-3-trillion-2022/,2,True,cbsnews.com
$45 MILLION MORE,https://apnews.com/article/shootings-austin-texas-violence-e067a8bc031ce48be0810764c7bb3c18,1,True,apnews.com
$45 MILLION MORE...,https://apnews.com/article/shootings-austin-texas-violence-e067a8bc031ce48be0810764c7bb3c18,3,True,apnews.com
"$5,000 AVG MANHATTAN...",https://www.cnbc.com/2022/07/14/average-rent-in-manhattan-was-a-record-5000-last-month.html,2,True,cnbc.com
$9.4 Trillion Results Day Looms in Test for Stock Market...,https://finance.yahoo.com/news/9-4-trillion-results-day-075131597.html,1,True,yahoo.com
$95 TO FILL UP FAMILY CAR...,https://abcnews.go.com/Business/gas-prices-hit-national-average-rapid-rise/story?id=85258013,1,True,go.com
'60% CHANCE OF HOLDING SENATE'...,https://projects.fivethirtyeight.com/2022-election-forecast/senate/,1,True,fivethirtyeight.com
'AIRMAGEDDON',https://www.cbsnews.com/news/july-4-holiday-weekend-travel-flight-delays-airline-staffing-problems-traffic/,3,True,cbsnews.com
'AMERICAN WITCH'...,https://www.msn.com/en-us/news/world/how-taiwan-reacted-to-pelosi-s-visit-from-welcome-to-american-witch/ar-AA10gHee,3,True,msn.com
'Already detecting some stealing going on'...,https://apnews.com/article/2022-primary-elections-de357586bed665e24c414a3748e0ba50,4,True,apnews.com
"'Another 1,000 flood'...",https://www.msn.com/en-us/weather/topstories/dallas-area-hit-by-1-in-1-000-year-flood-cars-float-in-water-filled-roads/ar-AA10Vy0S,1,True,msn.com
"'Another 1-in-1,000 flood': Cars floating down water-filled roads...",https://www.msn.com/en-us/weather/topstories/dallas-area-hit-by-1-in-1-000-year-flood-cars-float-in-water-filled-roads/ar-AA10Vy0S,1,True,msn.com
'Apocalypse' in France...,https://www.bbc.com/news/world-europe-62206006,1,True,bbc.com
'Assassinated in attack meant for her father'...,https://www.dailymail.co.uk/news/article-11130731/Daughter-Ukraine-war-mastermind-blown-pieces-Moscow-car-bomb.html,3,True,dailymail.co.uk
'Attacker' named...,https://www.the-sun.com/news/5986748/novelist-salman-rushdie-chautauqua-stabbed/,1,True,the-sun.com
'Attacker' named; Sympathies toward Iran...,https://nypost.com/2022/08/12/nj-man-matar-hadi-with-sympathies-toward-iran-arrested-in-stabbing-of-salman-rushdie/,1,True,nypost.com
'Autopilot' under scrutiny...,https://finance.yahoo.com/news/another-fatal-tesla-crash-being-230624384.html,2,True,yahoo.com
'BATGIRL' shelved by WARNER BROS. despite $70M price tag: 'Irredeemable'...,https://nypost.com/2022/08/02/batgirl-movie-gets-shelved-by-warner-bros-source/,1,True,nypost.com
'BATGIRL' shelved by WARNER BROS. despite $70M price tag: Irredeemable...,https://nypost.com/2022/08/02/batgirl-movie-gets-shelved-by-warner-bros-source/,1,True,nypost.com
'BLONDE' Trailer: Ana de Armas Stuns as Marilyn in NETFLIX NC-17 Drama...,https://variety.com/2022/film/news/blonde-trailer-ana-de-armas-marilyn-monroe-1235296128/,1,True,variety.com
'BRING RIFLES',https://www.washingtonpost.com/technology/2022/06/24/extremists-violence-abortion-ruling/,4,True,washingtonpost.com
'Be furious' -- Dems want more from Biden...,https://www.politico.com/news/2022/07/06/biden-gun-bill-highland-park-shooting-00044166,2,True,politico.com
'Bend and Blaze': High Yoga Classes All the Buzz...,https://www.wsj.com/articles/high-yoga-classes-11658704045,4,True,wsj.com
'Better than Pyramids'...,https://www.dailystar.co.uk/tech/news/75-mile-long-jungle-skyscraper-27592620,2,True,dailystar.co.uk
'Biblical' swarms of giant crickets destroying crops in West...,https://www.independent.co.uk/climate-change/news/mormon-cricket-swarm-us-crops-b2110478.html,3,True,independent.co.uk
'Big Short' investor dumps portfolio after crash warnings...,https://nypost.com/2022/08/15/michael-burry-dumps-stock-portfolio-after-market-crash-warnings/,2,True,nypost.com
'Blankets covering bodies'...,https://chicago.suntimes.com/2022/7/4/23194354/highland-park-fourth-july-parade-gunfire,3,True,suntimes.com
'Brutal' Violent Crime Surge In South Africa...,https://www.barrons.com/news/brutal-violent-crime-surge-in-south-africa-police-01654254607,1,True,barrons.com
'CATACLYSMIC THREATS',https://www.mediaite.com/news/mitt-romney-calls-out-americas-national-malady-of-denial-warns-that-a-return-to-trump-would-render-it-incurable/,4,True,mediaite.com
'COMPLETE DISREGARD TO FACTS'...,https://www.theguardian.com/media/2022/aug/23/lachlan-murdoch-files-defamation-action-against-independent-news-outlet-crikey,3,True,theguardian.com
'CRASH' DIRECTOR HAGGIS ARRESTED FOR 'SEX ASSAULT'...,https://variety.com/2022/film/news/paul-haggis-arrested-rape-charges-1235298298/,6,True,variety.com
'CRAWDADS' Author Wanted for Questioning in Murder...,https://www.msn.com/en-us/news/world/where-the-crawdads-sing-author-wanted-for-questioning-in-murder/ar-AAZsmQ2,1,True,msn.com
'CRYPTO WINTER',https://www.cnbc.com/2022/06/14/coinbase-lays-off-18percent-as-execs-prepare-for-recession-crypto-winter.html,1,True,cnbc.com
'Candidate quality'...,https://thehill.com/homenews/senate/3607168-mcconnell-says-house-more-likely-to-flip-than-senate-cites-candidate-quality/,3,True,thehill.com
'Celebration for the people'...,https://apnews.com/article/politics-gustavo-petro-colombia-caribbean-presidential-elections-2d1828677b5ab1a2eb5d277c02f1b27c,4,True,apnews.com
'Communist China Deserves To Be Disrespected'...,https://www.cnsnews.com/commentary/terence-p-jeffrey/communist-china-deserves-be-disrespected,3,True,cnsnews.com
'Complex algorithm'...,https://news.yahoo.com/google-fires-software-engineer-claimed-021841293.html,5,True,yahoo.com
'Creepy' butt taps of 16-year-old prompt outrage...,https://nypost.com/2022/08/30/creepy-butt-taps-of-16-year-old-sara-bejlek-prompt-us-open-outrage/,2,True,nypost.com
'Crime Prediction' Algorithms Could Be Used --  To Monitor Police...,https://www.fastcompany.com/90766642/this-ai-algorithm-supposedly-predicts-big-city-crime-before-it-happens-is-that-a-good-idea,2,True,fastcompany.com
'Crime Prediction' Algorithms Could Be Used -- To Monitor Police...,https://www.fastcompany.com/90766642/this-ai-algorithm-supposedly-predicts-big-city-crime-before-it-happens-is-that-a-good-idea,1,True,fastcompany.com
'Crying all the time': Monkeypox patients reveal psychological scars...,https://www.france24.com/en/live-news/20220829-crying-all-the-time-monkeypox-patients-reveal-psychological-scars,3,True,france24.com
'DRAGON' HBO Premiere Draws Record 10 Million Viewers...,https://deadline.com/2022/08/house-of-the-dragon-premiere-ratings-10-million-viewers-1235097830/,1,True,deadline.com
'DRAGON' HBO premiere Draws Record 10 Million Viewers...,https://deadline.com/2022/08/house-of-the-dragon-premiere-ratings-10-million-viewers-1235097830/,1,True,deadline.com
'Danger! mines': Odesa popular beaches now off limits...,https://www.usnews.com/news/world/articles/2022-06-09/danger-mines-odesas-popular-beaches-now-off-limits,1,True,usnews.com
'Dark Brandon': How Left Learned to Love Alter Ego...,https://www.msn.com/en-us/news/politics/dark-brandon-how-the-left-stopped-worrying-and-learned-to-love-biden-s-alter-ego/ar-AA10sGzh,3,True,msn.com
'Dark day for press freedom'...,https://www.barrons.com/news/assange-extradition-dark-day-for-press-freedom-and-uk-wikileaks-01655459106,4,True,barrons.com
'Death to the Confederacy!' Mayor live-streams statue being destroyed...,https://www.newsobserver.com/news/state/north-carolina/article264769574.html,3,True,newsobserver.com
"'Definitely be concerned.' Miami COVID cases, positivity rates soar...",https://www.arcamax.com/currentnews/newsheadlines/s-2687207,1,True,arcamax.com
'Demonic' AI generating its own secret written language --  that nobody can understand!,https://www.dailystar.co.uk/tech/news/demonic-ai-generating-secret-written-27132747,1,True,dailystar.co.uk
'Digital religion' sparking 'spiritual revolution' among millennials...,https://www.studyfinds.org/digital-religion-millennials/,2,True,studyfinds.org
'Digital religion' sparking spiritual revolution among millennials...,https://www.studyfinds.org/digital-religion-millennials/,1,True,studyfinds.org
'Doing my best to help underpopulation crisis'...,https://www.the-sun.com/news/5722431/tesla-elon-musk-shivon-zilis-twins/,2,True,the-sun.com
'Don't Say Gay' law confuses some Florida schools...,https://apnews.com/article/health-education-ron-desantis-gender-identity-49dfb9a4f63b2497846df8e96fd652cc,2,True,apnews.com
'Don't Say Gay' law takes effect. Impact already felt...,https://thehill.com/changing-america/respect/equality/3543536-floridas-dont-say-gay-law-takes-effect-today-its-impact-is-already-being-felt/,1,True,thehill.com
'Don't Say Gay' takes effect. Impact already felt...,https://thehill.com/changing-america/respect/equality/3543536-floridas-dont-say-gay-law-takes-effect-today-its-impact-is-already-being-felt/,2,True,thehill.com
"'Don't agree with her on anything,' CA Dems say of Cheney -- as they donate to her race...",https://www.yahoo.com/now/dont-agree-her-anything-california-160636156.html,2,True,yahoo.com
'Don't say we didn't warn you'...,https://www.the-sun.com/news/5894591/warning-china-sends-before-war-heard/,6,True,the-sun.com
'Eat the Rich' ice cream truck sells $10 popsicles shaped like Bezos...,https://www.cbsnews.com/news/eat-the-rich-popsicles-elon-musk-jeff-bezos-mschf/,1,True,cbsnews.com
'Everything not going to go as you expect'...,https://www.nbcnews.com/meet-the-press/video/on-nasa-s-artemis-test-flight-everything-is-not-going-to-go-as-you-expect-it-to-but-we-re-pretty-confident-space-agency-administrator-147076165800,3,True,nbcnews.com
'Everywhere. Everything. Everyone': Drugs back in EU...,https://apnews.com/article/covid-health-european-union-1d113d1c74f601123530ddb4f7b1487a,1,True,apnews.com
'Evidence of obstruction'...,https://www.dailymail.co.uk/news/article-11149649/Justice-Department-publishes-redacted-affidavit-explaining-search-Donald-Trumps-Mar-Lago-home.html,4,True,dailymail.co.uk
'FAMILY GUY' MacFarlane unexpected Pelosi megadonor...,https://www.sfgate.com/politics/article/Seth-MacFarlane-Nancy-Pelosi-donations-17330991.php,1,True,sfgate.com
'FAST & FURIOUS' turns LA streets into hot spots for racers. Residents fed up...,https://news.yahoo.com/fast-furious-turned-l-streets-120042291.html,6,True,yahoo.com
'FOX Would Die Without Me'... ,https://www.mediaite.com/trump/trump-insists-fox-news-would-die-without-me-despite-ratings-dominance-while-ignoring-trump/,3,True,mediaite.com
'Feel better than I sound'...,https://buffalonews.com/lifestyles/health-med-fit/raspy-voiced-biden-declares-he-feels-better-than-i-sound/article_28939327-6c00-5920-850e-0ea5e3d857d8.html,1,True,buffalonews.com
'Fireball' over New Zealand...,https://www.weatherwatch.co.nz/content/daytime-fireball-over-newzealand-explosions-heard-eyewitness-reports/,1,True,weatherwatch.co.nz
'Forgettable'...,https://www.thewrap.com/the-gray-man-review-chris-evans-ryan-gosling/,3,True,thewrap.com
'Free' Covid tests? Labs raking in millions in tax dollars...,https://www.msn.com/en-us/news/us/those-free-covid-tests-you-take-labs-are-raking-in-millions-in-tax-dollars-study-says/ar-AAYoBeI,1,True,msn.com
'GOODFELLAS' STAR PAUL SORVINO DEAD AT 83...,https://www.tmz.com/2022/07/25/paul-sorvino-dead-dies-goodfellas/,1,True,tmz.com
'GRAY MAN' and NETFLIX Big Action-Movie Problem...,https://currently.att.yahoo.com/att/gray-man-netflix-big-action-080003419.html,4,True,yahoo.com
'HOUSE OF DRAGON' Mixed Reviews...,https://www.hollywoodreporter.com/tv/tv-reviews/house-of-the-dragon-review-hbo-game-of-thrones-prequel-1235201398/,2,True,hollywoodreporter.com
'Handed him lifeline'...,https://www.politico.com/news/2022/08/10/takeaways-mar-a-lago-primary-00050768,3,True,politico.com
'Having sex with women is gay!',https://www.queerty.com/straightest-guy-nick-fuentes-says-sex-women-gay-internet-just-cant-20220513,4,True,queerty.com
'Holy Grail' Of Blood Tests: Diagnose Cancer Years Before Symptoms...,https://www.studyfinds.org/blood-test-cancer-rna-dark-matter/,2,True,studyfinds.org
'Homeland' records show 'shocking' use of phone data...,https://www.politico.com/news/2022/07/18/dhs-location-data-aclu-00046208,2,True,politico.com
'Homeland' records show widespread use of phone data...,https://www.politico.com/news/2022/07/18/dhs-location-data-aclu-00046208,1,True,politico.com
'Homeland' watchdog delays probe...,https://www.msn.com/en-us/news/politics/under-fire-homeland-security-watchdog-delays-probe-%e2%80%94-with-gop-help/ar-AA10AsCe,1,True,msn.com
'Homeland' watchdog halted plan to recover deleted texts...,https://www.msn.com/en-us/news/politics/homeland-security-watchdog-halted-text-retrieval-effort/ar-AA108cra,6,True,msn.com
'Homeland' watchdog previously accused of misleading investigators...,https://www.msn.com/en-us/news/us/homeland-security-watchdog-previously-accused-of-misleading-investigators-report-says/ar-AA10hxuI,1,True,msn.com
'Humans make mistakes under this pressure'...,https://nypost.com/2022/06/27/us-pilot-humans-make-mistakes-under-this-kind-of-pressure/,3,True,nypost.com
'I Flirted With Chatbot and Things Got Weird'...,https://news.yahoo.com/flirted-meta-chatbot-things-got-014322638.html,3,True,yahoo.com
"'I danced, sang, and partied -- perfectly legal things'...",https://yle.fi/news/3-12581734,3,True,yle.fi
'I gotta slow down'...,https://pagesix.com/2022/06/10/justin-biebers-face-paralyzed-after-rare-disorder-diagnosis/,1,True,pagesix.com
'I know what I have to do'...,https://www.dailymail.co.uk/news/article-10980973/Highland-Park-July-4th-parade-halted-shots-fired-crowd.html,2,True,dailymail.co.uk
"'I need 11,000 votes, give me a break'...",https://news.yahoo.com/11-000-votes-break-raffensperger-195747783.html,2,True,yahoo.com
'I will break you in half. Don't f*ck with me'...,https://news.yahoo.com/trump-son-law-jared-kushner-223700017.html,6,True,yahoo.com
'I'M THE F***ING PRESIDENT',https://www.dailymail.co.uk/news/article-10962011/Meadows-told-aide-Cassidy-Hutchinson-January-6-read-real-bad-just-days-riot.html,2,True,dailymail.co.uk
'I'm over it.' Many in LA shrug off subvariants...,https://news.yahoo.com/im-over-many-l-shrug-120005717.html,2,True,yahoo.com
'I-Robot' with 'unique human personality' ready in months...,https://www.dailystar.co.uk/news/world-news/elon-musks-i-robot-unique-27326614,5,True,dailystar.co.uk
'IT'S NOT A FEVER'...,https://news.yahoo.com/it-is-not-a-fever-white-house-reassures-that-bidens-covid-19-is-mild-212144614.html,2,True,yahoo.com
'It is WHOPPER!',https://www.mediaite.com/tv/it-is-a-whopper-cnbcs-rick-santelli-stunned-by-july-jobs-report-that-more-than-doubled-expectations/,2,True,mediaite.com
'It is absolutely unfair!',https://www.dailymail.co.uk/news/article-11130973/Outrage-golfer-bids-Ladies-Professional-Golf-Association-title-card-holder.html,4,True,dailymail.co.uk
'Joked' about drinking vodka 'with wine chasers' -- HOURS before '90mph' smash...,https://www.dailymail.co.uk/news/article-11087837/Shocking-new-video-shows-drunk-Anne-Heche-rocketing-road-shortly-smash.html,2,True,dailymail.co.uk
"'LIGHTYEAR,' with same-sex couple, will not play in 14 countries...",https://news.yahoo.com/exclusive-pixar-movie-lightyear-same-211638065.html,1,True,yahoo.com
'LORD OF WAR' FOR WNBA STAR,https://www.cnn.com/2022/07/27/americas/viktor-bout-profile-intl/index.html,2,True,cnn.com
'LOVE IS BLIND' Cast Member Sues Show; Denied Food and Water...,https://www.yahoo.com/now/love-blind-cast-member-sues-173410302.html,2,True,yahoo.com
'Like Covid never happened': Ibiza nightclubs reopen...,https://www.france24.com/en/live-news/20220623-like-covid-never-happened-ibiza-s-nightclubs-reopen,3,True,france24.com
'Like Wildfire': Cases skyrocket on Marshall Islands...,https://www.bbc.com/news/world-asia-62544116,1,True,bbc.com
'Like Wildfire': Covid cases skyrocket on Marshall Islands...,https://www.bbc.com/news/world-asia-62544116,3,True,bbc.com
"'Madrid will not switch off' vows mayor, as Spain orders cities to save energy in wake of EU gas crisis...",https://www.dailymail.co.uk/news/article-11073531/Madrid-not-switch-vows-mayor-Spain-orders-cities-save-energy-amid-EUs-gas-crisis.html,2,True,dailymail.co.uk
"'Madrid will not switch off' vows mayor, as Spain orders cities to save energy...",https://www.dailymail.co.uk/news/article-11073531/Madrid-not-switch-vows-mayor-Spain-orders-cities-save-energy-amid-EUs-gas-crisis.html,1,True,dailymail.co.uk
'Magic mushroom' psychedelic may help heavy drinkers quit...,https://apnews.com/article/mushroom-psychedelic-alcoholism-study-a3b6692ae7590de9fd09a7cac271a199,2,True,apnews.com
'Masculine' image becomes new must-have on campaign trail... ,https://www.msn.com/en-us/news/politics/the-rise-and-cost-of-he-man-politics/ar-AAYFsI4,1,True,msn.com
'Masculine' image becomes new must-have on trail... ,https://www.msn.com/en-us/news/politics/the-rise-and-cost-of-he-man-politics/ar-AAYFsI4,3,True,msn.com
'Massive fighting'...,https://news.yahoo.com/relentless-russian-shelling-east-ukraine-073615708.html,6,True,yahoo.com
'Master Plan' to save mankind 'coming soon'...,https://www.dailystar.co.uk/news/world-news/elon-musk-promises-part-three-27705788,3,True,dailystar.co.uk
"'Megafloods' could devastate California, new study says...",https://www.usatoday.com/story/news/nation/2022/08/13/california-great-of-flood-1862-likerihood/10317968002/,3,True,usatoday.com
"'Mental Health Break' Epidemic Among Actors, Pop Stars,  Athletes...",https://www.thewrap.com/mental-health-breaks-hollywood/,4,True,thewrap.com
'Might not like it'...,https://www.dailymail.co.uk/news/article-11128491/CNN-CEO-Chris-Licht-warns-staff-significant-change-Brian-Stelter-fired.html,3,True,dailymail.co.uk
'Miracle Molecules' Discovered: Scientists Find Compound That Reverses Aging...,https://www.studyfinds.org/miracle-drug-reverse-aging-process/,2,True,studyfinds.org
'Most significant' in decade...,https://www.timesofisrael.com/gantz-irans-maritime-activity-in-red-sea-is-most-significant-in-a-decade/,2,True,timesofisrael.com
'NO RECESSION COMING'...,https://news.yahoo.com/nothing-suggest-us-recession-yellen-213705337.html,1,True,yahoo.com
'NOT HERE TO HURT ME',https://thehill.com/homenews/house/3539911-aide-says-trump-knew-jan-6-attendees-had-weapons-theyre-not-here-to-hurt-me/,1,True,thehill.com
'Nap boxes' for workers to sleep standing up installed in offices...,https://www.mirror.co.uk/news/world-news/offices-install-nap-boxes-workers-27511941,1,True,mirror.co.uk
'Nap boxes' installed for workers to sleep standing up...,https://www.mirror.co.uk/news/world-news/offices-install-nap-boxes-workers-27511941,1,True,mirror.co.uk
"'Needle spiking' fears rise in Europe, but crime difficult to trace...",https://www.washingtonpost.com/world/2022/06/07/needle-spiking-europe-britain-france/,1,True,washingtonpost.com
'Nervous'...,https://www.mediaite.com/tv/giuliani-nervous-over-georgia-investigation-former-aide-says-his-goal-now-is-to-die-a-free-man/,1,True,mediaite.com
'Never been greater threat to our republic'...,https://www.youtube.com/watch?v=H6Nq9SpGzic,1,False,youtube.com
'Ninja' Most Dangerous Yet?,https://ca.movies.yahoo.com/ninja-covid-variant-most-dangerous-084832058.html,4,True,yahoo.com
'Ninja' Strain Most Dangerous Yet?,https://ca.movies.yahoo.com/ninja-covid-variant-most-dangerous-084832058.html,1,True,yahoo.com
'No more feebleness': Pelosi in showdown with Beijing over potential Taiwan visit...,https://www.cnn.com/2022/07/26/politics/nancy-pelosi-taiwan-visit-showdown/index.html,3,True,cnn.com
'No one will any longer dare offend Islam'...,https://www.timesofisrael.com/no-one-will-any-longer-dare-offend-islam-the-1989-fatwa-against-salman-rushdie/,2,True,timesofisrael.com
'Not above law'...,https://dnyuz.com/2022/08/26/donald-trump-is-not-above-the-law/,4,True,dnyuz.com
'Not above the law'...,https://dnyuz.com/2022/08/26/donald-trump-is-not-above-the-law/,2,True,dnyuz.com
'Not even Orwell could have dreamed up country like this': Journalists forced to flee Nicaragua...,https://news.yahoo.com/not-even-orwell-could-dreamed-090034456.html,3,True,yahoo.com
"'Not theirs, it's mine'...
",https://dnyuz.com/2022/08/16/f-b-i-interviewed-top-white-house-lawyers-about-missing-trump-documents/,3,True,dnyuz.com
'Now fairly common'...,https://www.mediaite.com/politics/politico-reports-washington-d-c-media-journos-are-doing-mushrooms-for-performance-enhancing-brain-boost/,2,True,mediaite.com
'Nowhere safe'...,https://www.msn.com/en-us/news/us/as-gunfire-explodes-in-chicago-suburb-nowhere-is-safe/ar-AAZc5yK,2,True,msn.com
'OPPENHEIMER': First Teaser Trailer For Christopher Nolan Latest Blockbuster...,https://deadline.com/video/oppenheimer-first-teaser-trailer-for-christopher-nolans-latest-epic-blockbuster/,2,True,deadline.com
'Only yes means yes': Spain tightens rape law...,https://www.theguardian.com/world/2022/aug/25/spain-only-yes-means-yes-sexual-consent-bill-expected-to-become-law,3,True,theguardian.com
'Operating With Increased Intensity': Zuckerberg Leads META Into Next Phase...,https://www.nytimes.com/2022/07/26/technology/operating-with-increased-intensity-zuckerberg-leads-meta-into-next-phase.html,1,True,nytimes.com
'PINOCCHIO' Trailer: Del Toro's Dark Twist On Classic Puppet Comes To Life...,https://www.slashfilm.com/940995/pinocchio-trailer-guillermo-del-toros-dark-twist-on-the-classic-puppet-comes-to-life/ ,1,True,slashfilm.com
'PREPARING FOR WAR',https://www.globaltimes.cn/page/202207/1271742.shtml,3,True,globaltimes.cn
'Paxlovid Mouth' afflicting more users...,https://www.wsj.com/articles/what-exactly-is-paxlovid-mouth-and-how-do-you-get-rid-of-it-11660606455,1,True,wsj.com
'Paxlovid Mouth' afflicting users...,https://www.wsj.com/articles/what-exactly-is-paxlovid-mouth-and-how-do-you-get-rid-of-it-11660606455,2,True,wsj.com
"'Perfect storm' for airlines facing strong dollar, high oil prices...",https://news.yahoo.com/perfect-storm-airlines-facing-strong-082604221.html,4,True,yahoo.com
'Planted Evidence' Claim Unlikely to Stand Up In Court...,https://www.arcamax.com/politics/politicalnews/s-2711777?fs,3,True,arcamax.com
'Play with fire and you will get burned'...,https://www.dailymail.co.uk/news/article-11057805/Biden-calling-Chinas-Xi-8-30-TODAY-Taiwan-holds-drills-experts-warn-Pelosi-visit.html,2,True,dailymail.co.uk
'Pouring fire'...,https://apnews.com/article/russia-ukraine-putin-kyiv-politics-d649a733dc688379ec15652b19ae305f,2,True,apnews.com
'Pre-bunking' shows promise in fight against misinfo...,https://apnews.com/article/technology-misinformation-eastern-europe-902f436e3a6507e8b2a223e09a22e969,1,True,apnews.com
'Probable cause to believe evidence of obstruction'...,https://www.dailymail.co.uk/news/article-11149649/Justice-Department-publishes-redacted-affidavit-explaining-search-Donald-Trumps-Mar-Lago-home.html,2,True,dailymail.co.uk
'Probably Don't Want to Celebrate' USA; 'Can't Blame Them'...,https://www.mediaite.com/politics/city-of-orlando-regrets-impact-of-fireworks-promo-saying-people-probably-dont-want-to-celebrate-usa-and-cant-blame-them/,2,True,mediaite.com
'Put him in streets in pajamas'...,https://www.cnn.com/2022/06/23/politics/jeffrey-clark/index.html,2,True,cnn.com
'RELIABLE SOURCES' canceled...,https://www.npr.org/2022/08/18/1118197553/brian-stelter-cnn-canceled-show,3,True,npr.org
'Rare case of rebound'...,https://apnews.com/article/biden-covid-health-government-and-politics-6ffc64aa1d8d67b074dd8beb67d7cf6f,3,True,apnews.com
'Ready for Ron' means ready for 'war'...,https://thehill.com/opinion/campaign/3557505-ready-for-ron-means-ready-for-trump-war/,3,True,thehill.com
